timestamp,sound
14:54:15.354,私もリラックスしています.wav
14:54:20.354,私もハッピーです.wav
14:54:30.345,今日は楽しいですね.wav
14:54:40.345,口笛吹こうかな.wav
14:54:50.344,鼻歌歌おうかな.wav
14:55:00.356,わくわく、するね.wav
14:55:10.346,私もハッピーです.wav
14:55:20.364,今日は楽しいですね.wav
14:55:30.347,口笛吹こうかな.wav
14:55:40.345,鼻歌歌おうかな.wav
14:55:50.350,わくわく、するね.wav
14:56:00.344,私もハッピーです.wav
14:56:10.349,今日は楽しいですね.wav
14:56:20.339,口笛吹こうかな.wav
14:56:30.344,鼻歌歌おうかな.wav
14:56:40.355,わくわく、するね.wav
14:56:50.347,私もハッピーです.wav
14:57:00.345,今日は楽しいですね.wav
14:57:10.343,口笛吹こうかな.wav
