user_time,user_text,user_len,recog_emo
19:26:56.996,,2,
19:30:06.532,,3,Anger
19:30:09.952,,3,Anger
19:30:16.329,,4,Sadness
19:30:23.460,,6,Sadness
19:30:36.724,,4,Sadness
19:30:46.719,,4,Sadness
19:30:56.684,,3,Sadness
19:30:59.677,,2,Sadness
19:31:06.510,,4,Relax
19:31:11.391,,4,Sadness
19:31:21.592,,4,Sadness
19:31:26.641,,4,Relax
19:31:36.457,,3,Relax
19:31:41.498,,3,Relax
19:31:46.647,,4,Relax
19:31:51.990,,3,Relax
19:31:56.228,,5,Sadness
19:32:06.338,,4,Sadness
19:32:11.613,,8,Sadness
19:32:20.855,,3,Sadness
19:32:26.523,,6,Sadness
19:32:36.590,,5,Sadness
19:32:42.400,,4,Sadness
19:32:46.899,,2,Sadness
19:32:56.420,,4,Sadness
19:33:05.052,,7,Sadness
19:33:16.331,,4,Sadness
19:33:26.338,,4,Sadness
19:33:30.869,,3,Sadness
19:33:36.459,,3,Sadness
19:33:39.875,,2,Sadness
19:33:46.540,,6,Sadness
19:33:56.471,,4,Sadness
19:34:02.604,,3,Sadness
19:34:06.399,,3,Sadness
19:34:10.682,,3,Sadness
19:34:16.576,,3,Sadness
19:34:26.680,,3,Sadness
19:34:29.736,,2,Sadness
19:34:36.542,,4,Sadness
19:34:41.035,,3,Sadness
19:34:46.401,,4,Sadness
